Module,Permission Key,Description,Role: SUPER_ADMIN,Role: CAMPUS_ADMIN,Role: PRINCIPAL,Role: FINANCE_CLERK,Role: RECEPTIONIST,Role: TEACHER,Role: STAFF_EDITOR
"Academic Administration","academic.bulk_promote.execute","Perform bulk promotion",,,,,,,
"Academic Administration","academic.campuses.edit","Create/Edit campuses",,,,,,,
"Academic Administration","academic.campuses.view","View campuses",,,,,,,
"Academic Administration","academic.classes.edit","Create/Edit classes",,,,,,,
"Academic Administration","academic.classes.view","View classes",,,,,,,
"Academic Administration","academic.sections.edit","Create/Edit sections",,,,,,,
"Academic Administration","academic.sections.view","View sections",,,,,,,
"Academic Administration","academic.transfers.execute","Execute student transfers",,,,,,,
"Academic Administration","academic.transfers.view","View student transfers",,,,,,,
"Fee Administration","fee_admin.bundles.edit","Manage fee bundles",,,,,,,
"Fee Administration","fee_admin.bundles.view","View fee bundles",,,,,,,
"Fee Administration","fee_admin.classwise_schedule.edit","Manage class fee schedules",,,,,,,
"Fee Administration","fee_admin.classwise_schedule.view","View class fee schedules",,,,,,,
"Fee Administration","fee_admin.fee_types.edit","Manage fee types",,,,,,,
"Fee Administration","fee_admin.fee_types.view","View fee types",,,,,,,
"Fee Administration","fee_admin.studentwise_schedule.edit","Manage student overrides",,,,,,,
"Fee Administration","fee_admin.studentwise_schedule.view","View student overrides",,,,,,,
"Finance Operations","finance.banks.edit","Manage bank accounts",,,,,,,
"Finance Operations","finance.banks.view","View bank accounts",,,,,,,
"Finance Operations","finance.deposits.record","Record new deposits",,,,,,,
"Finance Operations","finance.deposits.view","View deposit history",,,,,,,
"Finance Operations","finance.vouchers.download","Download voucher PDFs",,,,,,,
"Finance Operations","finance.vouchers.generate_bulk","Generate bulk vouchers",,,,,,,
"Finance Operations","finance.vouchers.generate_single","Generate single voucher",,,,,,,
"Finance Operations","finance.vouchers.split_partial","Split vouchers for partial pay",,,,,,,
"Finance Operations","finance.vouchers.view","View vouchers",,,,,,,
"Student Management","students.directory.edit","Edit student details",,,,,,,
"Student Management","students.directory.view","View student directory",,,,,,,
"Student Management","students.enrollment.complete","Complete admission (SOFT -> ENROLLED)",,,,,,,
"Student Management","students.enrollment.view","View enrollment list",,,,,,,
"Student Management","students.families.edit","Edit family/guardian details",,,,,,,
"Student Management","students.families.view","View families directory",,,,,,,
"Student Management","students.registration.create","Register new students",,,,,,,
"Student Management","students.registration.view","View registration list",,,,,,,
"System Administration","system.analytics.view","View dashboard analytics",,,,,,,
"System Administration","system.analytics.view_amounts","View financial amounts in analytics",,,,,,,
"System Administration","system.permissions.manage","Manage user permissions",,,,,,,
"System Administration","system.users.edit","Manage staff accounts",,,,,,,
"System Administration","system.users.view","View staff accounts",,,,,,,